date,price,market_cap,volume
2024-06-03 00:00:00,11.297362986590569,0.0,1138941.131445999
2024-06-04 00:00:00,11.297362986590569,0.0,1138941.131445999
2024-06-05 00:00:00,12.60377232191159,0.0,806440.9771233536
2024-06-06 00:00:00,11.537958634043104,0.0,367184.96827921586
2024-06-07 00:00:00,9.80463717365346,0.0,287527.8202480159
2024-06-08 00:00:00,10.40435771459961,0.0,506312.52585479734
2024-06-09 00:00:00,11.233224287019816,0.0,1341320.19408199
2024-06-10 00:00:00,9.18068691399777,0.0,3371951.209067143
2024-06-11 00:00:00,8.220716029523949,8142881.709112338,2476391.028035307
2024-06-12 00:00:00,8.16991328487313,8165567.982854406,597126.3597086326
2024-06-13 00:00:00,8.256345954312062,8277121.185429739,583230.9898398013
2024-06-14 00:00:00,6.627688012404578,6629393.45060901,245630.0910932032
2024-06-15 00:00:00,7.469733465527445,7468791.523207321,711619.9846004539
2024-06-16 00:00:00,9.044570104625583,9036348.378448542,3966515.6030503567
2024-06-17 00:00:00,9.892726975962702,9865203.656182311,4055631.4269689317
2024-06-18 00:00:00,8.267727274735366,8258515.920837091,4048282.9838113966
2024-06-19 00:00:00,7.858174859250786,7858876.7649553465,4460165.56792273
2024-06-20 00:00:00,8.342331351930646,8325532.519945532,1768388.4193794907
2024-06-21 00:00:00,7.587156375517229,7624630.93461596,786498.0192397605
2024-06-22 00:00:00,8.219234116052657,8208112.274939333,659077.3410305637
2024-06-23 00:00:00,9.388927938884866,9386768.59702556,5114737.452143564
2024-06-24 00:00:00,9.165857233613796,8678976.81658333,3914965.326106777
2024-06-25 00:00:00,9.80639530934518,9785014.871115219,3979760.204177542
2024-06-26 00:00:00,9.834158106990975,9837530.84326761,4545382.5140813105
2024-06-27 00:00:00,9.785490851663234,9783513.603660163,1505060.614771424
2024-06-28 00:00:00,9.86471277738318,9858628.636882797,1921590.2587977839
2024-06-29 00:00:00,10.549178196220607,10542227.650704037,3432681.941468365
2024-06-30 00:00:00,11.06306074340458,11061115.058341285,3684199.708471196
2024-07-01 00:00:00,10.93291848105478,10941146.610686038,2112307.28388739
2024-07-02 00:00:00,12.05655748101889,12038527.298581338,1937321.206990039
2024-07-03 00:00:00,13.658254748778381,13641685.207248872,2392844.7883409923
2024-07-04 00:00:00,13.293119272037309,13276659.132559221,2529486.073873344
2024-07-05 00:00:00,11.407764553273497,11495776.70629546,2957292.666637795
2024-07-06 00:00:00,11.408650592912261,11408970.667845631,1900030.7646755255
2024-07-07 00:00:00,12.944200442108611,12929702.380483441,1657911.451948018
2024-07-08 00:00:00,11.770088416242155,11847156.599949418,2057341.5788180432
2024-07-09 00:00:00,13.887980416238303,13887541.527363185,2591539.247230699
2024-07-10 00:00:00,16.555807097474307,16559534.496095369,3567405.980662055
2024-07-11 00:00:00,16.944958876910352,16947706.2835844,2179200.6722292127
2024-07-12 00:00:00,19.251963064868697,19229551.287706126,2736969.484644624
2024-07-13 00:00:00,24.354761573244915,24330624.231711954,2399294.9577085916
2024-07-14 00:00:00,25.890882124163745,25913682.058649313,2712327.9102811418
2024-07-15 00:00:00,27.16663465838023,27091370.388627548,3054734.67015694
2024-07-16 00:00:00,25.946144872577992,25894574.947775036,2532392.1603987953
2024-07-17 00:00:00,26.14665679426887,26094250.159835923,2420673.6512799556
2024-07-18 00:00:00,24.929531560997447,25031941.9321388,1811888.964074663
2024-07-19 00:00:00,26.711544506411578,26657347.10276463,1635905.7611761494
2024-07-20 00:00:00,23.43403277447187,23446696.808635455,2146181.018023986
2024-07-21 00:00:00,25.096652265921314,25045150.890760344,1129891.679615852
2024-07-22 00:00:00,25.35805097402596,25305725.226930633,1574724.6962261917
2024-07-23 00:00:00,26.160441551357316,26558363.01286425,1804828.9401893676
2024-07-24 00:00:00,26.156746475210763,26102024.52972175,2289558.418305159
2024-07-25 00:00:00,24.700466658073225,24781763.606360078,1257612.3498509438
2024-07-26 00:00:00,23.445289337494536,23376908.83005788,1521868.2746888015
2024-07-27 00:00:00,26.282063610073504,26226347.782024253,1245907.9787457897
2024-07-28 00:00:00,25.318064136584244,25425010.671176296,1458421.8080576742
2024-07-29 00:00:00,25.865230181369352,25809948.090423383,1041428.4346097391
2024-07-30 00:00:00,25.483587073100136,25428821.493594844,1829100.2523060185
2024-07-31 00:00:00,25.055352843137086,24994103.10942661,1386388.9048317715
2024-08-01 00:00:00,22.171242131015788,22425971.647414017,1263846.8749356917
2024-08-02 00:00:00,20.50131620610776,20456718.903425306,1112572.92134824
2024-08-03 00:00:00,17.934871115485223,17895642.3247604,1386179.6813856948
2024-08-04 00:00:00,16.56117877312477,16545055.760927012,1062461.0214092867
2024-08-05 00:00:00,14.991263616143039,14982471.122120935,732282.5917136349
2024-08-06 00:00:00,15.143649322144777,15110016.55754698,1303687.1183940184
2024-08-07 00:00:00,15.19642455921231,15162534.590941707,871544.1381813659
2024-08-08 00:00:00,14.352512487315083,14320400.955663035,647972.2021025234
2024-08-09 00:00:00,20.004533303399963,19959499.819481436,1191669.1008226152
2024-08-10 00:00:00,18.421390933209167,18426351.069691412,593574.2416270386
2024-08-11 00:00:00,17.76892750787283,17596358.25698738,267874.08185231994
2024-08-12 00:00:00,15.63054979298276,15595206.921648126,438356.13448263006
2024-08-13 00:00:00,16.584757071841487,16245898.488592783,450624.2644349696
2024-08-14 00:00:00,17.612910366674093,17754996.682766315,607479.2127560336
2024-08-15 00:00:00,16.89096555526267,16802425.75033152,543044.1626549402
2024-08-16 00:00:00,16.0304290267415,15993864.470211163,390152.25688294205
2024-08-17 00:00:00,15.738744619670246,16053678.305594314,478853.59049680573
2024-08-18 00:00:00,16.26408198099682,16566138.54710272,566101.8367804463
2024-08-19 00:00:00,15.93328755575001,15908312.581499066,432225.26513815764
2024-08-20 00:00:00,17.00425825368063,16965061.24664543,811100.669663371
2024-08-21 00:00:00,17.560242534291103,17464420.86319516,866023.5849441268
2024-08-22 00:00:00,18.049917415626187,18008072.596759275,386694.9459129909
2024-08-23 00:00:00,19.414951408768935,19309923.22136559,963916.6148543096
2024-08-24 00:00:00,19.23162370856841,19065901.156547394,1200831.9777826313
2024-08-25 00:00:00,18.968079204713632,18923496.51591133,1582537.3665445733
2024-08-26 00:00:00,19.310347125156714,19264874.535780445,476015.2074874665
2024-08-27 00:00:00,18.90444182131386,18969634.06893375,774398.8343598498
2024-08-28 00:00:00,17.362698816082407,17321573.07395727,828575.2825004575
2024-08-29 00:00:00,15.790717887379603,15753181.904440744,883761.7649598519
2024-08-30 00:00:00,15.907390706083266,15869437.69242789,861695.9333404823
2024-08-31 00:00:00,13.720175619952492,13687343.754377246,681288.8099031675
2024-09-01 00:00:00,14.20955030023498,14175503.63380015,290070.85030149
2024-09-02 00:00:00,15.317040809114024,15280256.624224378,493860.7584313791
2024-09-03 00:00:00,15.322610042961399,15285765.261032337,266745.3678960246
2024-09-04 00:00:00,14.656241420470506,14620945.007525543,341903.18505602545
2024-09-05 00:00:00,13.498017880085483,13465465.412123598,325951.96014683385
2024-09-06 00:00:00,12.025448206993127,12063222.902876806,402245.86082323187
2024-09-07 00:00:00,10.215169159535167,10190431.75605801,441048.05061678804
2024-09-08 00:00:00,11.274536835502547,11247202.177553019,154324.05100447184
2024-09-09 00:00:00,12.085889201763012,12005262.275112553,211302.43735232405
