date,price,market_cap,volume
2024-09-19 00:00:00,2.8608777619101384,0.0,26431180.036889642
2024-09-20 00:00:00,2.8608777619101384,0.0,26431180.036889642
2024-09-21 00:00:00,2.809356701937433,0.0,17146315.951992366
2024-09-22 00:00:00,3.1653706793843184,0.0,9304933.85636693
2024-09-23 00:00:00,3.172190355252511,0.0,6125899.644380074
2024-09-24 00:00:00,3.8924505496630073,0.0,13506501.74426135
2024-09-25 00:00:00,3.9044260632637173,0.0,19660326.897568952
2024-09-26 00:00:00,4.082441996880842,0.0,12802245.153780144
2024-09-27 00:00:00,4.250096194168832,0.0,7150141.785614692
2024-09-28 00:00:00,5.357336488154554,0.0,17375313.988836113
2024-09-29 00:00:00,6.503006786799729,0.0,45754312.21110307
2024-09-30 00:00:00,6.222102414509301,0.0,15192347.209771838
2024-10-01 00:00:00,5.183335545391217,0.0,20680492.218522053
2024-10-02 00:00:00,5.18450619417246,0.0,14653621.213381257
2024-10-03 00:00:00,4.53085429905836,0.0,13522826.538375203
2024-10-04 00:00:00,4.685824870076294,483686578.489329,31965522.504048057
2024-10-05 00:00:00,4.434111121302269,460705698.6266502,32159080.660395782
2024-10-06 00:00:00,4.146026340588636,432969195.2863895,16039942.845395373
2024-10-07 00:00:00,3.701291414848174,389109323.7907478,18262645.187372275
2024-10-08 00:00:00,3.501864159617632,370734042.5409751,17300295.787756518
2024-10-09 00:00:00,3.1434764228032464,334616399.1307269,22468960.371703267
2024-10-10 00:00:00,2.95238997367511,316243587.95348287,21722097.61770654
2024-10-11 00:00:00,2.9049674977138737,591118583.5598109,16978365.7956634
2024-10-12 00:00:00,3.0398375348518725,621936792.7676573,18090351.71474734
2024-10-13 00:00:00,2.9068192515998446,597926290.1685996,13268616.480050027
2024-10-14 00:00:00,2.761725273197887,570901378.6805192,13441974.245521128
2024-10-15 00:00:00,2.7664131267752627,576241918.3664482,13878357.293109003
2024-10-16 00:00:00,2.5504827411537705,535054084.2403297,18353253.913706888
2024-10-17 00:00:00,2.1659956708870207,454377234.1629336,25149632.607870042
2024-10-18 00:00:00,2.2266477028470986,467712391.36476845,15773214.7969935
2024-10-19 00:00:00,2.0868395704306923,444837198.56678575,18361959.382991124
2024-10-20 00:00:00,1.8473536955297742,395357755.2957587,18068776.71837692
2024-10-21 00:00:00,2.012443748187368,434209215.0529412,14768435.329228077
2024-10-22 00:00:00,2.0849842867103394,452275756.42067957,11849395.118068486
2024-10-23 00:00:00,2.1718220720070343,472151283.19080347,18012099.252755918
2024-10-24 00:00:00,1.9035275024248692,416781549.5885612,12549125.346579522
2024-10-25 00:00:00,1.9285220323823027,424538923.5186932,8131253.936457377
2024-10-26 00:00:00,1.6658645665908611,368114759.3321524,11716748.604657942
2024-10-27 00:00:00,1.6002011771179872,356980194.4531138,7878608.160821921
2024-10-28 00:00:00,1.6156950559113963,361924860.82615656,6644946.732127412
2024-10-29 00:00:00,1.504452936091832,338657522.4662566,9470211.426306505
2024-10-30 00:00:00,1.4646732971780372,331418920.9996941,7497428.593271818
2024-10-31 00:00:00,1.5049048424518459,342771615.3163591,7161313.683270052
2024-11-01 00:00:00,1.4587895410661276,333306481.5408453,10488090.44044137
2024-11-02 00:00:00,1.486887272912415,342013371.83037573,10853116.695037052
2024-11-03 00:00:00,1.3498788646387896,312212284.07831746,9146047.016653819
2024-11-04 00:00:00,1.2799953198040457,297585439.8553935,10306543.346910508
2024-11-05 00:00:00,1.1390547149902492,266128793.7786937,7009846.069405544
2024-11-06 00:00:00,1.1836045451510337,278249458.53084475,8206580.892816015
2024-11-07 00:00:00,1.4608954597433386,345377511.54585946,10795585.923399871
2024-11-08 00:00:00,1.5107541926640902,358674737.7705836,17073062.833340783
2024-11-09 00:00:00,1.3350159844434426,318327075.02225167,12060022.857958162
2024-11-10 00:00:00,1.3599526628824457,327642758.10840416,12130355.814925332
2024-11-11 00:00:00,1.405680563938677,337732357.8069977,13787097.887262195
2024-11-12 00:00:00,1.3975088464143828,337344985.0779978,11514301.539235987
2024-11-13 00:00:00,1.3160866458669636,319933321.99449015,11804226.906659774
2024-11-14 00:00:00,1.2236470517164402,299568858.3155107,11474868.721622992
2024-11-15 00:00:00,1.1702049237779895,286807965.3716117,8735695.307678081
2024-11-16 00:00:00,1.2744166509669803,314839836.84001654,9302718.640587732
2024-11-17 00:00:00,1.2496656188459732,310187387.7445216,7119146.143684814
2024-11-18 00:00:00,1.1986500429295295,299024890.00184333,6868083.41223882
2024-11-19 00:00:00,1.2511050607045788,313035362.4719775,8852683.262569806
2024-11-20 00:00:00,1.227661599773759,309328370.80004984,9529522.485512005
2024-11-21 00:00:00,1.1791474990551585,298435960.248848,6888848.747717177
