date,price,market_cap,volume
2024-11-03 00:00:00,0.06678024238761444,68880525.21847822,221954930.22240648
2024-11-04 00:00:00,0.06678024238761444,68880525.21847822,221954930.22240648
2024-11-05 00:00:00,0.037479153655755104,39947616.66329279,124593702.20553997
2024-11-06 00:00:00,0.05810589567845858,58996388.40380599,104320612.59713455
2024-11-07 00:00:00,0.14162586190459467,141794593.7906036,176689101.3943287
2024-11-08 00:00:00,0.11167103507332747,111502908.87549113,100297019.268544
2024-11-09 00:00:00,0.08776497353183517,87269082.59435682,67501095.95836963
2024-11-10 00:00:00,0.09027221179051322,89727752.34129687,47663518.07905342
2024-11-11 00:00:00,0.11196580969296425,109991804.23896532,55426750.6684207
2024-11-12 00:00:00,0.3868228520245154,386934318.4473057,1134186699.894877
2024-11-13 00:00:00,0.4458447442323644,445894895.49877363,824321156.417343
2024-11-14 00:00:00,1.7016430998656646,1702165733.0990555,5136998207.317994
2024-11-15 00:00:00,1.7785401445218307,1770919575.853094,5122450137.594257
2024-11-16 00:00:00,1.7450349046324811,1739528752.2975345,4313189052.46033
2024-11-17 00:00:00,1.6914874182956927,1686155833.9312594,1887581437.2250535
2024-11-18 00:00:00,1.811622363058217,1820914353.6961367,2026777559.850174
2024-11-19 00:00:00,1.6000554635629414,1599075644.103544,1736009174.4635541
2024-11-20 00:00:00,1.7050675253816454,1705669515.8290076,2056986486.7097363
2024-11-21 00:00:00,1.4326063724743385,1437784542.4814444,1567054219.7723982
2024-11-22 00:00:00,1.3642771927539274,1363865080.1093502,2758680627.8180046
2024-11-23 00:00:00,1.1274628701323925,1126445620.1590424,2129290789.0493026
2024-11-24 00:00:00,1.1178595289739666,1117439127.6160777,2016116761.6472576
2024-11-25 00:00:00,1.172857859381925,1174326037.2671034,1686249358.9908946
2024-11-26 00:00:00,1.130536286328292,1128809577.5220335,2059271815.751381
2024-11-27 00:00:00,1.0818531272254173,1080656163.5084956,1293759999.4603841
2024-11-28 00:00:00,1.0881812887923556,1086192314.6459763,1672282027.556931
2024-11-29 00:00:00,1.1072050104291904,1107213827.8082078,1092905711.1757722
2024-11-30 00:00:00,1.285413375720846,1287506311.9751108,2048280548.7627199
2024-12-01 00:00:00,1.1924938354582704,1193273803.0158782,1096811908.2527602
2024-12-02 00:00:00,1.2240457420557018,1226299054.6633894,1147337960.5839324
2024-12-03 00:00:00,1.3149341877698681,1315014586.2079008,1874463133.4918184
2024-12-04 00:00:00,1.2301350397301734,1230297632.9104805,1672012749.1411588
2024-12-05 00:00:00,1.2479917383718795,1248174963.944783,1234363714.1331115
2024-12-06 00:00:00,1.422020956580725,1420337149.2931488,2006713876.9946775
2024-12-07 00:00:00,1.3497641558237645,1348301080.1030273,1049955705.5075364
2024-12-08 00:00:00,1.4634033506055635,1464073987.3816724,1321476454.8204
2024-12-09 00:00:00,1.457494035348683,1457444899.6235788,1021578453.6840655
2024-12-10 00:00:00,1.1523307938983323,1150932634.1740177,1602161393.3703892
2024-12-11 00:00:00,1.0333309039486722,1032117648.6124041,1190788910.9356294
2024-12-12 00:00:00,1.2961528532108344,1298204306.5249104,1834116185.5091069
2024-12-13 00:00:00,1.249310227131101,1247643945.4393885,1197740804.3737082
2024-12-14 00:00:00,1.214690622232174,1213202972.6298616,775808659.8580499
2024-12-15 00:00:00,1.1461009643759856,1145779257.412094,558995174.0279758
2024-12-16 00:00:00,1.1579924600798739,1159251777.2390947,551135818.3827504
2024-12-17 00:00:00,1.0837537024887371,1084976347.1417537,769148066.9926246
2024-12-18 00:00:00,1.0394752785924375,1039736045.0262625,641834380.2776091
2024-12-19 00:00:00,0.8648809239554948,863362983.7204112,709231912.4523306
2024-12-20 00:00:00,0.6743275441520569,675053699.0189505,973584479.9661853
2024-12-21 00:00:00,0.6973601569145251,696818868.0521601,818717387.4935428
2024-12-22 00:00:00,0.6118908606750478,611157625.6495105,566783195.7441418
2024-12-23 00:00:00,0.7020833378261797,702200485.4020838,1025770061.4706769
2024-12-24 00:00:00,0.7318552302439133,731718407.4403192,607520466.337072
2024-12-25 00:00:00,0.7748921712190932,774797819.7310182,483273732.2808734
2024-12-26 00:00:00,0.6912218514651476,691440165.4089025,360158847.6300666
2024-12-27 00:00:00,0.6528803132565647,652741988.4188682,272953667.4439499
2024-12-28 00:00:00,0.6281128509284085,627912112.3179061,253677570.22170937
2024-12-29 00:00:00,0.6372497213288947,637159813.0848193,221491732.844223
2024-12-30 00:00:00,0.5933533793952251,592860312.6157457,184027613.80419156
2024-12-31 00:00:00,0.6762804509528741,674428089.8651235,780775345.294344
2025-01-01 00:00:00,0.6714416425606591,671460295.1773982,439929246.3613133
2025-01-02 00:00:00,0.6757640870899218,672983712.7037655,385931005.62895894
2025-01-03 00:00:00,0.6953554104722844,695758769.0099684,409474409.4114978
