date,price,market_cap,volume
2024-04-03 00:00:00,135.07660564645158,27458067.462937973,278080.0753918797
2024-04-04 00:00:00,131.31297981917672,26687433.591419715,119311.43019138451
2024-04-05 00:00:00,135.2770655073593,27475054.021391343,327405.2706515779
2024-04-06 00:00:00,133.11418557677533,27040717.689762674,426276.8096628202
2024-04-07 00:00:00,130.10778597411831,26446516.78718006,47947.57910882711
2024-04-08 00:00:00,134.35366578651565,27289458.077631027,92537.46559466056
2024-04-09 00:00:00,145.8258641821594,29629398.959093396,219042.9893202247
2024-04-10 00:00:00,135.01072243287368,27434198.105450213,52830.26413662171
2024-04-11 00:00:00,129.21357702954478,26261552.566308152,212159.69492675515
2024-04-12 00:00:00,123.8341989061041,25136293.105740927,225106.7210810773
2024-04-13 00:00:00,106.24700987720479,21563276.716385726,447006.2885824418
2024-04-14 00:00:00,93.08480682594858,19127296.145299714,260939.7650395052
2024-04-15 00:00:00,102.50451889306181,20876347.88020524,699131.947080202
2024-04-16 00:00:00,98.90707087923347,20229322.0184556,284484.18742095795
2024-04-17 00:00:00,101.57197936987492,20386288.95244738,69188.42856232749
2024-04-18 00:00:00,97.54131229445952,19943790.407188974,18859.19592096289
2024-04-19 00:00:00,96.61454389664334,19712799.247997627,61862.3103489995
2024-04-20 00:00:00,98.09281728042518,20461855.12361429,105942.31519668314
2024-04-21 00:00:00,108.54593041039533,21816211.339782562,98666.63004924507
2024-04-22 00:00:00,106.49974157607303,21377338.01785732,63409.877749835934
2024-04-23 00:00:00,104.13866728117189,20981455.49578161,77799.78787720171
2024-04-24 00:00:00,105.07834075128491,21119082.541215792,37832.85970226341
2024-04-25 00:00:00,100.88957426040278,20276642.322025668,123823.83450282052
2024-04-26 00:00:00,102.04078500451531,20484464.673345216,57360.006852553604
2024-04-27 00:00:00,100.14618571023614,20116635.679740455,43014.13683675626
2024-04-28 00:00:00,103.54380044961245,20784526.9603918,32508.03473905637
2024-04-29 00:00:00,104.04991198196262,20882152.899162497,12194.884943504432
2024-04-30 00:00:00,101.82830019982937,20456553.93081916,54931.29000712496
2024-05-01 00:00:00,94.01273617120547,18886278.764906682,31435.098668621762
2024-05-02 00:00:00,91.30386028203878,18335199.98239015,67804.06332384345
2024-05-03 00:00:00,92.47302406962778,18522264.724396933,74356.86152117916
2024-05-04 00:00:00,100.23795481989029,20045216.242912494,122250.44942372329
2024-05-05 00:00:00,97.06715772394735,19371459.637917478,49340.006900744665
