date,price,market_cap,volume
2024-11-12 00:00:00,0.1,0.0,98289443.11118013
2024-11-13 00:00:00,0.4009415931911482,0.0,98289443.11118013
2024-11-14 00:00:00,0.3347982234874267,0.0,51922235.47779522
2024-11-15 00:00:00,0.26013835331513835,0.0,33126268.451406434
2024-11-16 00:00:00,0.29936057213340633,0.0,29201385.651652478
2024-11-17 00:00:00,0.28531256112991943,0.0,24816220.251315314
2024-11-18 00:00:00,0.2518189740772436,0.0,27326236.451753758
2024-11-19 00:00:00,0.2321884652432223,0.0,28901619.82896399
2024-11-20 00:00:00,0.2453491153750343,0.0,40828330.95970079
2024-11-21 00:00:00,0.2038027152940505,0.0,34313620.8262959
2024-11-22 00:00:00,0.21268686695455832,0.0,31036759.993666925
2024-11-23 00:00:00,0.20633128318845165,77420759.81319132,32654397.818573013
2024-11-24 00:00:00,0.2301234658695001,86751222.3121964,33690061.12198511
2024-11-25 00:00:00,0.2452930910535891,92435444.02761024,34668211.76737748
2024-11-26 00:00:00,0.2768600307341054,104489689.47851798,38274535.69795972
2024-11-27 00:00:00,0.2741291550296005,103316771.44512907,31909723.703681488
2024-11-28 00:00:00,0.3288912082616097,123937033.74032077,43318013.67751858
2024-11-29 00:00:00,0.32949148925887783,124372238.86596565,27872613.788581084
2024-11-30 00:00:00,0.35286600019411024,132550991.68646775,41757328.100651845
2024-12-01 00:00:00,0.3987219918650829,150043678.3801843,36727561.310843065
2024-12-02 00:00:00,0.4509029744742949,168408047.80060282,61442844.17898971
2024-12-03 00:00:00,0.4240625114014788,159876347.42797473,50942933.91753107
2024-12-04 00:00:00,0.42442453546725345,159985360.53847864,45361132.847910464
2024-12-05 00:00:00,0.45894297101877896,172960986.15477672,43863584.088263944
2024-12-06 00:00:00,0.44128943432916584,166359486.36043525,40686382.03654725
2024-12-07 00:00:00,0.5258203041059305,198152107.395991,57971580.754580095
2024-12-08 00:00:00,0.665057250946944,250808925.52329424,95595427.4678548
2024-12-09 00:00:00,0.6342022061466988,238941102.37783512,71471151.46773796
2024-12-10 00:00:00,0.6815634610324278,439540427.95892423,70178141.02265367
2024-12-11 00:00:00,0.6894159533970028,443448056.5967555,159694281.32040757
2024-12-12 00:00:00,0.6637238548696842,428019097.0465222,89124387.72715369
2024-12-13 00:00:00,0.590538659131229,380709579.0014871,103696364.99110095
2024-12-14 00:00:00,0.5495994058016369,354744815.97977287,71219701.67072788
2024-12-15 00:00:00,0.5783164325249067,373553993.11892825,62980267.37135207
2024-12-16 00:00:00,0.5786911020448408,375145121.847364,39559925.48628562
2024-12-17 00:00:00,0.5412672215092413,349841191.97289926,47924897.97318818
2024-12-18 00:00:00,0.5033320355068072,325477949.0065953,60460281.713670775
2024-12-19 00:00:00,0.5150965108239306,335013238.3709356,65510128.5556455
2024-12-20 00:00:00,0.5435331360934121,352461127.67598855,82101985.27498738
2024-12-21 00:00:00,0.5599141152432705,362194998.19113463,94345905.49599622
2024-12-22 00:00:00,0.5097325514481401,330407935.758502,54200098.199686185
2024-12-23 00:00:00,0.496231218918665,322807956.30623597,38569998.12218281
2024-12-24 00:00:00,0.5049911711592658,328472246.2016614,44474692.347606465
2024-12-25 00:00:00,0.5113853328691906,332289376.969674,39307661.39395038
2024-12-26 00:00:00,0.5400283575095522,352547450.4611297,40142035.1187749
2024-12-27 00:00:00,0.5130626821500575,333328827.2305628,32161090.390838195
